the
of
and
a
in
to
it
is
was
to
i
for
you
he
be
with
on
that
by
at
are
not
this
but
's
they
his
from
had
she
which
or
we
an
n't
's
were
that
been
have
their
has
would
what
will
there
if
can
all
her
as
who
have
do
that
one
said
them
some
could
him
into
its
then
two
when
up
time
my
out
so
did
about
your
now
me
no
more
other
just
these
also
people
any
first
only
new
may
very
should
as
like
her
than
as
how
well
way
our
as
between
years
er
many
those
there
've
being
because
do
're
yeah
three
down
such
back
good
where
year
through
'll
must
still
even
know
too
here
get
own
does
oh
last
no
more
'm
going
so
erm
after
us
government
might
same
much
see
yes
go
make
day
man
another
world
see
got
work
however
life
again
against
think
never
under
one
most
old
over
know
something
mr
take
why
each
while
part
on
number
out_of
made
different
really
went
'
came
after
children
always
four
without
one
within
system
local
during
most
although
next
small
case
great
things
social
end
say
quite
both
group
five
about
every
women
says
party
's
important
place
house
took
before
information
1
men
per_cent
often
seen
money
school
national
fact
night
had
given
second
point
off
done
having
thing
british
london
taken
think
area
perhaps
company
in
all
family
2
hand
'd
already
possible
over
nothing
when
mm
home
large
yet
business
in
water
side
whether
days
used
john
'd
development
week
state
such_as
give
head
want
ca
right
almost
country
much
himself
find
council
power
of_course
come
thought
young
room
able
political
six
later
until
get
members
eyes
public
use
service
mean
problem
though
high
go
towards
anything
up
others
war
car
both
doing
police
problems
interest
probably
available
where
on
say
saw
full
knew
actually
education
policy
ever
am
made
best
a_few
today
face
at_least
times
enough
office
looking
door
since
voice
before
less
britain
form
body
3
person
together
research
when
want
services
months
up_to
big
only
name
little
million
health
law
question
book
long
words
mother
using
child
come
period
making
got
court
main
several
for_example
society
market
itself
themselves
like
began
economic
upon
areas
away
major
therefore
woman
england
over
including
help
among
gave
right
real
job
likely
position
process
effect
known
a
far
line
half
staff
became
moment
community
difficult
action
particularly
special
particular
international
kind
father
report
look
age
across
management
idea
certain
so_that
taking
evidence
rather
looked
off
minister
tell
third
seems
view
morning
found
else
sense
use
behind
back
sometimes
thus
level
getting
better
ten
shall
need
over
seemed
table
further
made
death
4
mrs
whose
industry
ago
century
take
control
sort
gone
church
yesterday
clear
range
black
general
word
groups
work
history
free
keep
road
order
few
usually
make
wanted
hundred
centre
put
food
study
programme
result
air
hours
committee
indeed
team
experience
change
course
language
white
someone
everything
certainly
mind
hands
10
home
rate
section
said
similar
trade
minutes
reason
authority
cases
role
data
working
europe
before
necessary
nature
class
felt
central
because_of
well
english
companies
rather_than
simply
early
department
especially
asked
called
personal
value
5
member
around
patients
seven
uk
paper
land
eight
systems
TRUE
herself
told
support
act
type
wife
once
city
former
common
friend
changes
countries
care
sure
decision
financial
single
terms
price
provide
stage
matter
parents
club
practice
based
trying
as_well_as
private
cos
foreign
god
saying
wo
further
need
whole
town
makes
open
situation
comes
soon
strong
b
bed
recent
us
girl
according_to
david
higher
twenty
as_if
better
quality
either
european
various
to
conditions
clearly
at_all
ground
weeks
down
long
may
tax
look
found
away
poor
production
friends
shown
month
na
music
1990
anyone
game
ways
schools
issue
mr.
royal
put
april
workers
goes
american
students
despite
knowledge
june
art
let
hair
basis
subject
p.
series
natural
coming
come
bad
bank
since
feet
greater
south
simple
lot
pay
west
rest
secretary
security
manager
hospital
cost
heart
structure
attention
story
&amp
means
nine
letter
questions
need
chapter
field
short
become
studies
per
movement
6
union
success
figure
united
1989
everyone
near
whatever
analysis
news
chance
evening
population
boy
modern
20
following
theory
legal
computer
scotland
approach
books
final
wrong
finally
ask
give
performance
human
off
authorities
environment
please
fire
rights
whom
above
relationship
in_order
told
1991
feel
growth
agreement
parties
account
found
nice
size
son
held
space
amount
property
example
project
normal
myself
nor
gon
meeting
set
quickly
feel
record
france
behaviour
left
c
previous
only
peter
giving
recently
serious
anyway
couple
energy
sir
term
either
director
current
st
east
12
love
significant
put
income
leave
building
as_well
pressure
right
levels
treatment
july
north
prime
throughout
model
suddenly
pounds
choice
away_from
results
scheme
try
fine
details
takes
bring
design
happy
list
defence
parts
bit
points
red
loss
industrial
got
activities
low
floor
generally
issues
used
activity
rates
nearly
become
other
march
sorry
30
paul
mean
forward
army
talking
difference
hour
labour
summer
specific
outside
numbers
concerned
husband
lord
relations
following
dr
understand
contract
turned
product
ideas
george
material
wall
meet
believe
thank
obviously
unless
appropriate
teachers
dead
military
season
15
look
unit
arms
easy
lower
show
basic
find
reasons
successful
colour
play
aware
technology
each_other
effects
